viral_phage_gene_fraction,ratio.virus.bacteria,score
0,0.0881304162,0
0,0.1692136072,0
0,0.5593409134,0
0,0.0741221818,0
0,0.169978657,0
0,0.0927983095,0
0,1.8570802524,0
0,0.5886428239,0
0,0.0865077299,0
0,0.1487998723,0
0,0.2258350834,0
0,0.102632913,0
0,2.0970400602,0
0,0.1920952727,0
0,0.152373483,0
0,0.2688512898,0
0,0.1150188476,0
0,0.1697734393,0
0,0.0686653589,0
0,0.0889653359,0
0,0.1216297544,0
0,0.0603842521,0
0,NA,0
0,0.1210530938,0
0,0.1029984744,0
0,0.4660089023,0
0,NA,0
0,0.0476379059,0
0,0.0597840368,0
0,0.166102183,0
0,0.088832947,0
0,NA,0
0,0.1640416626,0
0,0.0883511302,0
