2.3057e+05,-2.0719,-2.355,-0.59309,0
2.1013e+05,-2.3263,-2.5172,-0.71013,0
1.0432e+05,-2.017,-2.312,-0.7781,0
89338,-1.658,-2.6102,-0.51037,0
86731,-1.9085,-2.4463,-0.94569,0
84753,-100,-2.5058,-0.79973,0
84544,-100,-2.7381,-0.81256,0
83539,-100,-2.8449,-0.82965,0
65379,-100,-2.8389,-0.07865,0
58251,-100,-3.0313,-0.8181,0
54974,-100,-2.3947,-0.86823,0
54254,-100,-2.9081,-0.83007,0
43545,-1.6902,-3.1561,-0.79122,0
36568,-1.3892,-3.7915,-0.63056,0
32000,-100,-2.7962,-0.71998,0
28624,-100,-3.08,-0.81653,0
26343,-100,-2.3743,-0.79925,0
23827,-100,-2.8191,-0.86253,0
20414,-100,-2.82,-0.98701,0
20235,-1.3222,-2.6504,-0.73789,0
19915,-100,-2.8542,-0.70888,0
19591,-100,-2.931,-0.97886,0
19270,-100,-2.1934,-1.0351,0
18111,-100,-2.4901,-0.79845,0
17136,-100,-3.207,-0.77115,0
14383,-100,-2.5686,-0.97805,0
12384,-100,-2.8786,-0.83479,0
10990,-100,-2.6612,-0.34268,0
10576,-100,-3.2653,-0.57098,0
9503,-100,-2.3738,-0.079968,0
8723,-100,-2.0476,-0.36673,0
8016,-100,-3.5625,0.11333,0
5751,-100,-2.8987,-0.69814,0
5549,-100,-2.4598,-0.88642,0
4667,-100,-2.507,0.13062,0
4040,-100,-3.4758,-1.2459,0
3945,-100,-3.5234,-0.61145,0
3795,-100,-3.5735,-0.67839,0
3240,-0.30103,-3.1369,-0.83869,0
3203,-100,-9999,-9999,0
3157,-100,-2.9293,-0.80653,0
3144,-100,-2.7514,-0.54816,0
1.3218e+05,-100,-2.7457,-0.55203,0
1.0392e+05,-100,-2.5837,-0.70865,0
98177,-1.9731,-2.2877,-0.59218,0
81920,-100,-2.3506,-0.69584,0
75862,-100,-2.6878,-0.62956,0
73530,-100,-2.4348,-0.66489,0
58195,-100,-2.7132,-0.64017,0
57608,-1.7482,-2.3918,-0.76163,0
57527,-100,-2.0804,-0.52803,0
51214,-100,-2.4623,-0.7958,0
45551,-100,-3.183,-0.42933,0
43249,-100,-2.6238,-0.67603,0
42122,-100,-2.3901,-0.70859,0
41176,-100,-2.4628,-0.86222,0
40714,-100,-2.478,-0.7906,0
40625,-100,-2.8178,-0.67536,0
39799,-1.5682,-2.5588,-0.67588,0
38672,-1.6532,-2.4756,-0.82909,0
36983,-100,-2.9961,-0.69079,0
36604,-100,-2.5224,-0.79921,0
36358,-1.5185,-2.9082,-0.64365,0
31027,-100,-2.4926,-0.73804,0
28196,-1.4624,-2.4345,-0.80881,0
24333,-100,-3.0251,-0.25115,0
22386,-100,-2.0951,-0.30685,0
22169,-100,-2.2567,-0.58579,0
21703,-100,-2.8418,-0.95149,0
20717,-100,-1.8907,-0.2738,0
19119,-100,-2.6543,-0.35518,0
16865,-1.3424,-3.2919,-0.39489,0
13413,-1.2553,-1.5325,0.0031835,0
13300,-100,-2.5054,-0.88712,0
13046,-100,-2.6231,-0.66192,0
11529,-0.8451,-2.7039,-0.056589,0
11034,-100,-2.368,-0.9122,0
10975,-100,-2.6825,-0.082086,0
9751,-100,-2.6344,-0.70693,0
9172,-100,-2.621,-0.72145,0
9047,-100,-2.2896,-0.68908,0
8079,-100,-2.296,-0.40769,0
8013,-100,-2.4859,-0.61011,0
7923,-100,-2.939,-0.95139,0
7376,-100,-2.6765,-0.31394,0
7077,-100,-3.3213,-1.8285,0
7017,-0.079181,-1.6418,1.4411,1
6306,-100,-3.1098,-0.88763,0
6014,-100,-2.8527,-0.39104,0
5217,-100,-2.5405,-0.9064,0
4426,-100,-2.6123,0.032617,0
4075,-100,-3.2687,-0.73618,0
4061,-100,-4.3809,-0.55345,0
3947,-100,-1.8916,-1.0149,0
3539,-100,-2.7303,-0.56009,0
3519,-100,-2.548,-0.70377,0
3092,-100,-2.5068,-0.46968,0
3004,-100,-2.6481,-0.19691,0
1.8272e+05,-100,-2.4765,-0.58986,0
5259,-100,-3.0163,-0.72761,0
5528,-0.90309,-2.5419,-0.071688,0
8448,-100,-2.4537,-0.62181,0
1.3089e+05,-2.1303,-2.3885,-0.65522,0
10348,-0.69897,-3.0631,0.61452,0
20610,-100,-3.4053,-0.60781,0
86795,-100,-2.5676,-0.63719,0
